C46    2.380    0.556
C59    2.371    0.794
C60    4.080    0.678
> 2022/06/14 12:00:14.000   45
G05    1.502    0.573
G10    5.177    0.127
G13    0.712    0.556
G15    0.200    1.112
G18    5.212    1.170
G20    1.850    0.143
G23    5.451    0.578
G24    2.832    0.925
G29    3.766    0.330
R03    0.734    0.466
R04    5.929    0.833
R05    4.908    0.404
R13    1.069    0.383
R14    2.117    0.412
R18    3.336    0.590
R19    4.455    1.065
R20    5.724    0.375
E04    4.823    0.965
E09    4.326    0.147
E11    5.489    0.663
E12    3.729    1.256
E19    0.553    0.870
E21    1.702    0.161
E33    2.782    0.459
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.756    1.046
C08    0.778    1.332
C09    3.724    0.862
C13    6.215    1.291
C16    3.753    1.181
C20    0.755    0.809
C22    4.845    0.187
C29    3.754    0.653
C35    4.922    0.640
C36    3.152    0.129
C37    1.250    0.462
C38    1.741    1.270
C39    3.950    1.342
C46    2.380    0.556
C59    2.371    0.794
C60    4.080    0.678
> 2022/06/14 12:00:15.000   45
G05    1.502    0.573
G10    5.177    0.127
G13    0.712    0.556
G15    0.200    1.112
G18    5.211    1.170
G20    1.850    0.143
G23    5.451    0.578
G24    2.832    0.925
G29    3.766    0.329
R03    0.734    0.466
R04    5.929    0.833
R05    4.908    0.404
R13    1.068    0.383
R14    2.117    0.413
R18    3.336    0.590
R19    4.455    1.065
R20    5.724    0.375
E04    4.823    0.965
E09    4.326    0.147
E11    5.489    0.663
E12    3.729    1.256
E19    0.553    0.870
E21    1.701    0.161
E33    2.782    0.459
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.756    1.046
C08    0.778    1.333
C09    3.724    0.862
C13    6.215    1.291
C16    3.754    1.181
C20    0.756    0.809
C22    4.845    0.187
C29    3.754    0.653
C35    4.921    0.640
C36    3.152    0.129
C37    1.250    0.462
C38    1.741    1.270
C39    3.950    1.342
C46    2.380    0.556
C59    2.371    0.794
C60    4.080    0.678
> 2022/06/14 12:00:16.000   45
G05    1.502    0.573
G10    5.177    0.127
G13    0.712    0.556
G15    0.200    1.112
G18    5.211    1.170
G20    1.850    0.143
